graph_id,model,n_nodes,m0,m,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
90,barabasi_albert,100,5,2,100,3.3136,4.0,2.4738633753705965,"{9: 4, 10: 1, 12: 2, 7: 3, 11: 1, 8: 4, 3: 15, 6: 6, 5: 9, 4: 15, 2: 40}",-0.7870583029069778
91,barabasi_albert,100,5,2,100,3.2568,4.0,2.4166091947189146,"{10: 1, 9: 6, 12: 1, 8: 3, 11: 1, 7: 4, 3: 19, 6: 5, 5: 10, 4: 12, 2: 38}",-0.7870583029069778
92,barabasi_albert,100,5,2,100,3.377,4.0,2.4,"{8: 3, 10: 4, 9: 3, 6: 6, 2: 35, 4: 16, 5: 8, 3: 21, 11: 2, 7: 2}",-0.7870583029069778
93,barabasi_albert,100,5,2,100,3.2204,4.0,2.8600699292150185,"{18: 1, 14: 1, 12: 2, 10: 2, 11: 1, 6: 6, 3: 27, 9: 1, 7: 4, 4: 14, 5: 5, 8: 1, 2: 35}",-0.7870583029069778
94,barabasi_albert,100,5,2,100,3.2178,4.0,2.592296279363144,"{9: 1, 15: 1, 14: 2, 11: 1, 6: 6, 7: 7, 5: 11, 4: 15, 8: 1, 3: 19, 2: 36}",-0.7870583029069778
95,barabasi_albert,100,5,2,100,3.352,4.0,2.32379000772445,"{7: 6, 13: 2, 8: 4, 11: 1, 10: 1, 6: 7, 4: 19, 5: 5, 3: 26, 2: 29}",-0.7870583029069778
96,barabasi_albert,100,5,2,100,3.3392,4.0,2.4124676163629637,"{12: 1, 15: 1, 9: 2, 8: 4, 6: 10, 5: 8, 11: 1, 4: 16, 7: 3, 2: 35, 3: 19}",-0.7870583029069778
97,barabasi_albert,100,5,2,100,3.2728,4.0,2.513961017995307,"{17: 1, 9: 2, 14: 1, 11: 1, 8: 3, 7: 4, 5: 11, 4: 19, 6: 5, 3: 21, 2: 32}",-0.7870583029069778
98,barabasi_albert,100,5,2,100,3.295,4.0,2.453568829277059,"{12: 3, 10: 2, 8: 3, 11: 1, 6: 5, 5: 10, 9: 1, 7: 3, 4: 18, 3: 19, 2: 35}",-0.7870583029069778
99,barabasi_albert,100,5,2,100,3.286,4.0,2.6343879744638983,"{13: 1, 12: 2, 11: 3, 6: 6, 9: 2, 8: 2, 7: 3, 3: 25, 10: 1, 4: 16, 5: 4, 2: 35}",-0.7870583029069778
100,barabasi_albert,100,5,2,100,3.244,4.0,2.5768197453450252,"{7: 4, 8: 5, 10: 1, 12: 2, 9: 3, 15: 1, 6: 5, 4: 13, 2: 34, 3: 27, 5: 5}",-0.7870583029069778
101,barabasi_albert,100,5,2,100,3.317,4.0,2.262741699796952,"{11: 1, 7: 6, 10: 4, 9: 1, 8: 3, 6: 6, 5: 9, 4: 19, 3: 15, 2: 36}",-0.7870583029069778
102,barabasi_albert,100,5,2,100,3.2584,4.0,2.5298221281347035,"{9: 2, 14: 1, 6: 8, 15: 1, 13: 1, 3: 27, 7: 7, 4: 13, 8: 2, 2: 32, 5: 6}",-0.7870583029069778
103,barabasi_albert,100,5,2,100,3.3194,4.0,2.3874672772626644,"{9: 3, 12: 2, 8: 2, 10: 3, 7: 3, 6: 8, 4: 16, 5: 8, 3: 20, 2: 35}",-0.7870583029069778
104,barabasi_albert,100,5,2,100,3.2644,4.0,2.569046515733026,"{7: 5, 9: 2, 14: 1, 16: 1, 6: 13, 3: 21, 4: 15, 10: 1, 11: 1, 8: 1, 5: 3, 2: 36}",-0.7870583029069778
105,barabasi_albert,100,5,2,100,3.3636,4.0,2.4166091947189146,"{10: 2, 14: 1, 12: 2, 6: 10, 8: 2, 4: 16, 5: 8, 7: 5, 3: 19, 2: 35}",-0.7870583029069778
106,barabasi_albert,100,5,2,100,3.3068,4.0,2.293468988235943,"{9: 3, 10: 3, 4: 9, 7: 3, 12: 1, 6: 11, 5: 7, 8: 3, 2: 31, 3: 29}",-0.7870583029069778
107,barabasi_albert,100,5,2,100,3.3058,4.0,2.592296279363144,"{10: 2, 11: 2, 15: 1, 14: 1, 7: 5, 4: 18, 5: 10, 6: 6, 8: 2, 2: 39, 3: 14}",-0.7870583029069778
108,barabasi_albert,100,5,2,100,3.3688,4.0,2.3151673805580453,"{9: 1, 12: 1, 11: 3, 8: 6, 7: 3, 3: 26, 4: 17, 5: 7, 6: 6, 2: 30}",-0.7870583029069778
109,barabasi_albert,100,5,2,100,3.219,4.0,2.727636339397171,"{8: 1, 10: 3, 17: 1, 13: 2, 5: 14, 9: 1, 6: 5, 4: 19, 11: 1, 3: 12, 2: 40, 7: 1}",-0.7870583029069778
110,barabasi_albert,100,5,2,100,3.3034,4.0,2.4166091947189146,"{9: 7, 6: 8, 16: 1, 3: 22, 10: 1, 8: 1, 7: 2, 4: 16, 5: 9, 2: 33}",-0.7870583029069778
111,barabasi_albert,100,5,2,100,3.3138,4.0,2.328089345364563,"{13: 1, 10: 3, 11: 1, 9: 1, 5: 12, 4: 14, 6: 10, 7: 2, 8: 3, 2: 36, 3: 17}",-0.7870583029069778
112,barabasi_albert,100,5,2,100,3.3428,4.0,2.3622023622035435,"{13: 1, 7: 4, 11: 1, 14: 1, 9: 2, 10: 1, 8: 2, 4: 19, 6: 4, 3: 21, 5: 13, 2: 31}",-0.7870583029069778
113,barabasi_albert,100,5,2,100,3.3994,4.0,2.130727575266252,"{9: 2, 8: 5, 11: 1, 6: 4, 10: 2, 5: 8, 4: 20, 7: 5, 3: 26, 2: 27}",-0.7870583029069778
114,barabasi_albert,100,5,2,100,3.3198,4.0,2.3323807579381204,"{9: 2, 5: 8, 13: 1, 6: 9, 14: 1, 8: 3, 10: 1, 7: 4, 4: 18, 3: 21, 2: 32}",-0.7870583029069778
115,barabasi_albert,100,5,2,100,3.3412,4.0,2.3664319132398464,"{14: 1, 12: 1, 10: 1, 6: 12, 11: 1, 7: 6, 5: 9, 3: 23, 8: 1, 9: 1, 2: 34, 4: 10}",-0.7870583029069778
116,barabasi_albert,100,5,2,100,3.2582,4.0,2.5495097567963922,"{11: 3, 14: 1, 12: 1, 9: 2, 6: 9, 4: 11, 2: 37, 8: 3, 5: 8, 3: 22, 7: 3}",-0.7870583029069778
117,barabasi_albert,100,5,2,100,3.3734,4.0,2.3323807579381204,"{11: 2, 10: 3, 9: 4, 6: 6, 7: 3, 5: 14, 4: 9, 3: 25, 8: 1, 2: 33}",-0.7870583029069778
118,barabasi_albert,100,5,2,100,3.2702,4.0,2.5019992006393608,"{11: 2, 8: 4, 15: 1, 13: 1, 7: 3, 5: 11, 9: 2, 3: 26, 6: 5, 4: 13, 2: 32}",-0.7870583029069778
119,barabasi_albert,100,5,2,100,3.3438,4.0,2.3916521486202797,"{9: 3, 6: 8, 13: 1, 10: 2, 8: 4, 7: 7, 4: 10, 5: 8, 3: 17, 2: 40}",-0.7870583029069778
