graph_id,model,n_nodes,n_edges_target,m0,w,average_degree_of_separation,mean_degree_of_connection,standard_deviation_of_degrees_of_connection,degree_distribution,pearson_correlation_mean_separation_vs_degree_stdev
99,barabasi_albert,100,150,5,10,3.9912,3.0,1.8920887928424501,"{8: 3, 6: 4, 5: 5, 9: 1, 2: 36, 12: 1, 4: 14, 3: 21, 1: 15}",-0.7042621390296911
100,barabasi_albert,100,150,5,10,4.261,3.0,1.760681686165901,"{11: 1, 7: 3, 4: 14, 5: 12, 2: 25, 1: 21, 6: 3, 3: 21}",-0.7042621390296911
101,barabasi_albert,100,150,5,10,4.1498,3.0,1.794435844492636,"{6: 4, 5: 5, 9: 2, 4: 20, 10: 1, 3: 18, 8: 1, 2: 32, 1: 17}",-0.7042621390296911
102,barabasi_albert,100,150,5,10,4.3962,3.0,1.9595917942265424,"{6: 4, 7: 5, 4: 9, 10: 2, 3: 21, 8: 1, 1: 20, 5: 6, 2: 32}",-0.7042621390296911
103,barabasi_albert,100,150,5,10,4.1864,3.0,1.7549928774784245,"{9: 2, 5: 11, 7: 3, 6: 3, 4: 12, 3: 21, 2: 29, 1: 19}",-0.7042621390296911
104,barabasi_albert,100,150,5,10,4.1638,3.0,1.9339079605813716,"{5: 9, 7: 4, 12: 1, 6: 4, 3: 15, 2: 30, 4: 14, 1: 22, 8: 1}",-0.7042621390296911
105,barabasi_albert,100,150,5,10,4.3154,3.0,1.7320508075688772,"{5: 13, 11: 1, 7: 4, 4: 11, 3: 24, 1: 18, 2: 28, 6: 1}",-0.7042621390296911
106,barabasi_albert,100,150,5,10,4.2868,3.0,1.7320508075688772,"{8: 2, 6: 2, 5: 10, 7: 5, 3: 26, 2: 27, 4: 9, 1: 19}",-0.7042621390296911
107,barabasi_albert,100,150,5,10,4.1056,3.0,1.9595917942265424,"{6: 4, 9: 4, 1: 22, 10: 1, 2: 28, 4: 19, 5: 5, 3: 17}",-0.7042621390296911
108,barabasi_albert,100,150,5,10,4.137,3.0,1.876166303929372,"{4: 12, 6: 4, 8: 2, 10: 1, 2: 29, 7: 5, 5: 4, 3: 23, 1: 20}",-0.7042621390296911
109,barabasi_albert,100,150,5,10,4.2762,3.0,1.6733200530681511,"{5: 14, 4: 12, 8: 1, 7: 2, 6: 5, 3: 19, 2: 26, 1: 21}",-0.7042621390296911
110,barabasi_albert,100,150,5,10,4.3686,3.0,1.6492422502470643,"{7: 4, 6: 2, 5: 8, 10: 1, 1: 14, 3: 18, 2: 35, 4: 18}",-0.7042621390296911
111,barabasi_albert,100,150,5,10,4.1164,3.0,1.8973665961010275,"{8: 3, 5: 9, 9: 1, 7: 2, 6: 5, 4: 12, 3: 19, 2: 24, 1: 25}",-0.7042621390296911
112,barabasi_albert,100,150,5,10,4.2654,3.0,1.969771560359221,"{6: 6, 8: 1, 4: 14, 13: 1, 2: 27, 7: 3, 5: 7, 3: 18, 1: 23}",-0.7042621390296911
113,barabasi_albert,100,150,5,10,4.197,3.0,1.8110770276274832,"{7: 5, 6: 7, 4: 13, 9: 1, 5: 5, 3: 22, 1: 23, 2: 24}",-0.7042621390296911
114,barabasi_albert,100,150,5,10,4.3,3.0,1.6733200530681511,"{9: 1, 6: 5, 4: 19, 8: 1, 5: 6, 3: 18, 2: 31, 1: 17, 7: 2}",-0.7042621390296911
115,barabasi_albert,100,150,5,10,4.29,3.0,1.7146428199482247,"{7: 4, 6: 8, 3: 26, 2: 29, 5: 6, 1: 18, 4: 8, 8: 1}",-0.7042621390296911
116,barabasi_albert,100,150,5,10,4.096,3.0,1.9339079605813716,"{7: 3, 8: 2, 6: 6, 11: 1, 4: 11, 3: 14, 5: 8, 2: 35, 1: 20}",-0.7042621390296911
117,barabasi_albert,100,150,5,10,4.0942,3.0,1.9026297590440449,"{4: 13, 6: 4, 9: 1, 8: 4, 1: 23, 5: 10, 2: 29, 7: 1, 3: 15}",-0.7042621390296911
118,barabasi_albert,100,150,5,10,4.1334,3.0,1.8601075237738274,"{8: 1, 6: 8, 7: 3, 4: 11, 10: 1, 2: 33, 3: 16, 5: 7, 1: 20}",-0.7042621390296911
119,barabasi_albert,100,150,5,10,4.3418,3.0,1.8384776310850235,"{7: 2, 4: 15, 6: 3, 8: 1, 11: 1, 5: 8, 3: 22, 2: 27, 9: 1, 1: 20}",-0.7042621390296911
120,barabasi_albert,100,150,5,10,4.1674,3.0,2.06881608655772,"{9: 3, 7: 4, 8: 1, 11: 1, 3: 21, 5: 7, 2: 34, 6: 2, 4: 7, 1: 20}",-0.7042621390296911
121,barabasi_albert,100,150,5,10,4.1364,3.0,1.760681686165901,"{7: 3, 4: 14, 9: 2, 3: 21, 6: 4, 8: 1, 2: 35, 5: 5, 1: 15}",-0.7042621390296911
122,barabasi_albert,100,150,5,10,3.9772,3.0,2.06881608655772,"{6: 9, 7: 3, 13: 1, 5: 6, 2: 24, 4: 14, 1: 28, 3: 14, 8: 1}",-0.7042621390296911
123,barabasi_albert,100,150,5,10,3.981,3.0,2.0591260281974,"{12: 1, 6: 3, 5: 10, 8: 1, 4: 12, 7: 3, 11: 1, 3: 20, 2: 23, 1: 26}",-0.7042621390296911
124,barabasi_albert,100,150,5,10,4.2496,3.0,1.7888543819998317,"{5: 10, 8: 1, 10: 1, 6: 7, 2: 23, 4: 12, 7: 1, 1: 23, 3: 22}",-0.7042621390296911
